epoch,batch_mean_return,batch_best_return,batch_best_theta_0,batch_best_theta_1,batch_best_theta_2,batch_best_theta_3,mu_0,mu_1,mu_2,mu_3,std_0,std_1,std_2,std_3,mean_success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers,mean_reward_time,mean_reward_overwhelmed,mean_reward_impatient,mean_reward_distracted
0,-27.1192,-27.1018,2.6218868319017727,3.0218868319017727,2.600360956645166,0.7940564716391214,2.1708933785716624,2.8703423197393283,2.351403307008334,0.7312379746486708,0.6380230902673696,0.21439091243785957,0.35220185081207206,0.08886969706511895,1.0,131.192,0.0,7.0,0.0,-13.119200000000001,0.0,-14.0,0.0
1,-19.820500000000003,-18.870600000000003,2.2130224882821796,3.112012590638759,2.516060962621439,0.6548729137818975,2.187100119019146,2.903767386329246,2.5872170973989275,0.7262346944344998,0.08,0.30020581627649573,0.2,0.1028749818407231,1.0,108.20500000000001,0.0,3.5,1.0,-10.820500000000003,0.0,-7.0,-2.0
2,-20.023600000000002,-19.0278,2.172311129935525,2.6993483766246786,2.8317253651337335,0.7103374767728154,2.194014683764593,2.658798176780512,2.7980014625151375,0.7156108772375005,0.08,0.12,0.2,0.03,1.0,110.236,0.0,3.5,1.0,-11.023600000000002,0.0,-7.0,-2.0
