epoch,mean_return,best_return,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-76.96783333333333,-65.61166666666668,223.01166666666666,0.4,18.866666666666667,7.666666666666667
2,-74.91594444444445,-60.69499999999999,219.8261111111111,0.4444444444444445,18.033333333333335,7.544444444444446
3,-71.07700000000001,-57.595000000000006,211.65888888888892,0.36666666666666664,16.98888888888889,7.233333333333333
4,-71.66655555555555,-60.58833333333334,210.8877777777778,0.45555555555555555,16.833333333333332,7.544444444444445
5,-70.81549999999999,-57.47833333333333,212.37722222222226,0.45555555555555555,16.566666666666666,7.311111111111109
6,-71.07955555555554,-61.751666666666665,211.24000000000004,0.3777777777777778,16.644444444444442,7.5777777777777775
7,-69.12872222222222,-56.30166666666667,207.28722222222225,0.3888888888888889,16.355555555555558,7.066666666666667
8,-68.84011111111111,-53.01833333333334,207.95666666666673,0.3777777777777778,16.2,7.0666666666666655
9,-68.00555555555556,-59.40166666666667,203.16666666666669,0.5555555555555556,15.88888888888889,6.844444444444445
10,-67.79327777777777,-57.13500000000001,204.37722222222223,0.4444444444444444,15.855555555555554,6.933333333333334
