epoch,mean_return,best_return,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-76.96783333333333,-65.61166666666668,223.01166666666666,0.4,18.866666666666667,7.666666666666667
2,-71.63894444444443,-54.17833333333334,214.38944444444445,0.3,16.977777777777778,7.522222222222221
3,-69.01238888888888,-55.53166666666667,207.45722222222224,0.35555555555555546,16.344444444444445,7.077777777777778
4,-68.39505555555556,-61.318333333333335,205.5061111111111,0.4777777777777777,15.933333333333332,7.033333333333333
5,-68.38938888888887,-58.19666666666668,204.1161111111111,0.4444444444444445,16.07777777777778,7.022222222222222
6,-70.20872222222222,-60.71000000000001,207.19833333333332,0.38888888888888895,16.266666666666666,7.7
7,-68.76611111111112,-60.461666666666666,203.88333333333335,0.4777777777777778,16.2,7.033333333333332
8,-67.82733333333334,-53.794999999999995,203.8288888888889,0.5111111111111111,15.68888888888889,7.01111111111111
9,-67.50105555555555,-54.415,200.78833333333336,0.5000000000000001,15.477777777777778,7.233333333333333
10,-66.18055555555556,-49.070000000000014,200.0277777777778,0.5777777777777777,15.011111111111111,6.922222222222222
11,-65.28533333333333,-54.26500000000001,201.29777777777778,0.38888888888888895,14.633333333333333,7.166666666666668
12,-64.12677777777779,-52.293333333333344,195.71222222222227,0.3111111111111111,14.577777777777776,7.077777777777778
13,-65.78683333333335,-54.71666666666667,198.9794444444445,0.34444444444444444,14.855555555555554,7.400000000000001
14,-65.76055555555556,-55.748333333333335,199.60555555555558,0.4111111111111111,15.0,7.077777777777779
15,-65.59605555555555,-50.60666666666666,197.51611111111112,0.3888888888888888,14.822222222222221,7.322222222222223
16,-64.82600000000001,-57.45000000000001,197.14888888888888,0.3222222222222222,14.788888888888886,7.122222222222223
17,-65.74111111111111,-54.125,198.30000000000004,0.43333333333333335,15.044444444444443,7.0444444444444425
18,-65.4068888888889,-54.27166666666667,195.62444444444446,0.4,14.988888888888887,7.133333333333332
19,-65.37105555555556,-57.48333333333333,196.59944444444452,0.5000000000000001,14.566666666666666,7.28888888888889
20,-66.25855555555556,-57.46333333333333,197.25222222222226,0.4666666666666667,15.099999999999998,7.2333333333333325
