epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,std_5,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-73.2073,-39.785000000000004,0.4,0.6,0.8,0.1,0.05,5.0,3.174491838159745,184.47300000000007,0.52,22.48,3.86
2,-56.304500000000004,-28.740000000000002,0.4176019930373032,0.595708287123801,0.7232740071878772,0.0789431101776923,0.05634655303076225,4.506017771046998,2.888585168868796,170.64500000000004,0.52,15.2,3.38
3,-67.78359999999999,-28.915,0.4438621966402172,0.6149198605500373,0.715969044335771,0.0765263860852097,0.056502044888085516,4.170538795687798,2.8654554965522907,202.636,0.84,19.02,3.06
4,-62.62179999999999,-18.925,0.41375382377542974,0.6739049026835878,0.7137385008682607,0.08033566331697027,0.05483521069245443,3.8737047839796013,2.828489154195622,210.61800000000002,0.5,16.76,3.02
5,-57.921500000000016,-20.29,0.4218624936132262,0.6797079231776619,0.722463897294384,0.07379700145128257,0.04262664176805136,3.650187678189434,2.472440987899245,196.815,0.48,15.24,2.92
6,-54.08880000000001,-20.995000000000005,0.355148499917402,0.6816451454079854,0.724008974246668,0.06566031833390762,0.05010754013706793,3.659392827752671,2.3526673097886825,178.888,0.22,14.66,3.0
7,-59.0036,-24.36,0.3896293702527965,0.754435588656679,0.6910575556414961,0.07508229340941383,0.05116695026902785,4.2457154865477005,2.8038327096015956,185.636,1.04,14.8,3.34
8,-55.3056,-24.9,0.35005004372352394,0.719200151782584,0.8142646723991771,0.07011556614925056,0.037723288179439096,4.087299366335993,2.401662991759376,178.65600000000003,0.54,13.98,3.66
9,-49.842,-22.365000000000002,0.32696790224587907,0.7243480335239034,0.9539634374221195,0.07584325786516631,0.04283732395216371,3.891098608600838,2.6553842715110045,164.02,0.44,12.36,3.48
10,-61.9609,-22.755000000000003,0.3274399479397535,0.6776940697918863,1.0130485889853114,0.07835917224810525,0.042631704577388366,3.880992012126007,2.6755669467836247,200.009,0.64,16.92,2.78
11,-72.8713,-21.580000000000002,0.34291543046759526,0.6569649285132431,0.9657244564519917,0.08276706479145214,0.04803914446235592,2.9324482334160438,2.536731901145786,228.713,0.34,21.24,3.08
12,-53.2025,-22.405,0.3159481864589791,0.5747277057801999,0.8282416092801412,0.10027360917462474,0.04463270565390363,3.516094933098212,2.467354743626456,180.02500000000003,0.98,12.06,3.58
13,-73.27810000000001,-42.34,0.316244052285759,0.5292177414889516,0.9647315741488002,0.09948531632527287,0.045044191334315364,3.6850357212124596,2.5865532105868247,175.98100000000002,1.46,18.88,6.04
14,-65.2552,-31.740000000000002,0.29736864800309554,0.5069092695476661,1.016084699014685,0.0895144247387816,0.04949535633299902,3.518082648792426,2.4760662098103303,172.55199999999996,1.2,17.72,3.88
15,-58.94960000000001,-25.009999999999998,0.32863676509786843,0.4590653546108059,0.9055490113374761,0.08327111530844156,0.050193765923928095,3.5866734389914354,2.322759597036386,185.89600000000002,1.5,13.88,3.3
16,-54.406499999999994,-23.365000000000002,0.34212022464131464,0.45413741451589795,0.900380288272379,0.06972053419006118,0.04343191464734259,3.480378409623279,1.994064497866316,186.46500000000003,0.36,14.2,2.96
17,-66.6331,-40.68,0.35107576426784176,0.36479160984033737,0.792341779197398,0.07199382855306968,0.04285271675624268,4.167180413105772,1.8717650463849573,166.73100000000002,0.36,18.2,6.06
18,-53.525000000000006,-19.75,0.3205914492730494,0.2876593304064188,0.7126345732177255,0.07563129253930255,0.04182228001987869,3.6456487473750023,1.328601706392283,178.05000000000004,0.86,13.22,2.92
