epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,std_5,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
19,-72.00460000000001,-34.875,0.33044871527638914,0.29519058671237985,0.7015288562091939,0.07391400542907348,0.04059503849104723,4.034263737504423,1.4175615157168202,186.04600000000002,0.6,19.88,5.62
20,-54.461900000000014,-28.755000000000003,0.2936455096178625,0.27561393166603587,0.5986920249770837,0.06889339235165591,0.04223686063436407,4.427666887606697,1.1347028693344023,184.61900000000003,0.66,13.48,3.2
21,-73.4355,-35.65,0.291980818008484,0.33561649494244017,0.7109858560241795,0.053835644575481456,0.04058596679534408,4.009467171911028,1.1121810786375783,208.35500000000005,0.54,20.62,4.6
22,-53.0432,-18.330000000000002,0.30861488021461,0.33175357431150077,0.6176240900293074,0.0558722454638273,0.04183675789302417,2.8904881465612102,0.7554898914045398,178.032,0.32,13.86,3.12
23,-63.3684,-33.29,0.3274912448990553,0.3256677705994641,0.5571283400864648,0.05960799380236843,0.03967553235936012,2.9043147349408405,0.709711349998891,168.084,0.54,16.48,5.72
24,-70.7011,-26.590000000000003,0.3433887788561054,0.22298639858981822,0.5730142430919963,0.07428365741257592,0.038648889830552015,2.9692013904739003,0.6224414748189921,203.41100000000003,0.3,19.88,4.7
25,-57.65700000000001,-18.14,0.3059023217984129,0.2545897932129784,0.5302004849789367,0.07687742558272845,0.041945281318492546,2.511662969656982,0.5105527424015737,186.17,0.32,15.86,3.02
26,-53.79550000000001,-23.1,0.28921054309244115,0.23010700616198015,0.4771886072748933,0.0885821894442607,0.0419083124629245,2.6166420541342434,0.4297728584760261,177.155,0.92,13.18,3.02
27,-64.2177,-33.235,0.3271263947440592,0.16240772543251153,0.4921308293765118,0.09844656818942395,0.039754403769005166,2.246504717891743,0.13566613761048796,166.977,1.44,15.12,5.76
28,-72.1844,-38.58,0.3008342403206691,0.1470238353394641,0.3800530583122432,0.10180650397358097,0.03463794905910749,2.0800145350557577,-0.4872814421863092,183.84400000000002,1.3,19.8,4.5
29,-64.82530000000001,-36.61,0.33883246009561646,0.1201508853640139,0.4052655378078341,0.11112230306374479,0.03135371266973126,2.329262815747003,-0.4048326562208855,167.85299999999998,0.4,18.2,5.02
30,-72.9631,-28.520000000000003,0.2899016626682549,0.10003961862844045,0.38022353580476986,0.11806552892890772,0.031029306587826603,2.225116115713012,-0.8032967657292254,204.03100000000006,0.48,21.54,3.78
31,-51.46799999999999,-26.470000000000002,0.241319716284789,0.09910943490062286,0.4618157480511323,0.11908154437767159,0.03346034701530169,2.5613003001307693,-0.5769472461962346,165.08,1.46,10.78,3.78
32,-58.63229999999999,-29.580000000000002,0.23030278670342808,0.08823030278470625,0.54169469985317,0.10301559099212096,0.029371171395398882,2.2615104252924962,-0.9801703633337535,167.523,0.96,16.08,2.94
33,-87.31200000000001,-35.71,0.21927866688709907,0.08138356088215268,0.6112353836971418,0.11249409983033755,0.02906369203749427,2.416189513462713,-0.845564205841888,215.92000000000004,0.5,25.78,6.08
34,-57.177800000000005,-30.095,0.21256414248438954,0.08873008476893408,0.5323554118233886,0.09360698583390197,0.02280488819400938,2.0498803071429563,-1.5191297382356828,164.578,0.28,15.76,4.04
35,-64.45100000000001,-31.755000000000003,0.2233677635875544,0.09269753563741821,0.4593096437442918,0.10791628948248894,0.020975710481217026,1.9647805177438287,-1.5571576458481653,178.51,1.26,16.42,4.36
36,-57.1038,-24.625,0.24221917671205073,0.1129181325725316,0.3939242217327164,0.09726857624828607,0.01857304323851672,2.013766612719167,-1.6332864387001966,175.03800000000004,2.14,12.9,2.62
37,-53.470000000000006,-14.475000000000001,0.24232340784500583,0.08376732036312134,0.419593390034837,0.08261095070333493,0.019091240268033563,1.6132407665690887,-2.2259259763397674,196.7,0.3,13.72,2.58
38,-52.4658,-15.675,0.23761100457242237,0.08422309416619174,0.3715544254820224,0.07701260478072101,0.01941469429460284,1.6821535951116868,-2.373271578714725,171.05800000000002,0.32,13.74,3.3
39,-51.622,-19.995,0.3015784984669852,0.08580839025737369,0.3874783530910388,0.08507188358402515,0.017799001099321362,1.8263771842061476,-1.9793648291809083,178.61999999999998,0.1,13.54,3.14
40,-74.81439999999999,-34.615,0.2871406927773363,0.0837425387484884,0.38466876819319934,0.09119810265066018,0.021588457194417807,1.5188554029929018,-1.9818932803658877,203.74399999999997,1.66,20.72,3.18
41,-65.224,-30.325000000000003,0.2530738800788337,0.08280708400439128,0.4259741684834674,0.08926111174693967,0.0202598233786457,1.8598632086684805,-1.8998627764376486,188.24,0.18,19.04,3.8
42,-48.97600000000001,-17.51,0.30825697500914157,0.08998104675238412,0.5247946013571545,0.08698890092585577,0.018613580118927595,1.7215666420693378,-1.5986987412219846,170.96,0.28,12.94,2.44
43,-58.0758,-32.235,0.3086608683669328,0.08721849245299028,0.5588044295661704,0.07305778744689144,0.02092139066581154,1.81646812211692,-1.569769230027731,173.158,0.24,15.46,4.44
44,-47.166900000000005,-23.46,0.2623858368815172,0.08727018637835576,0.5827125546766129,0.06889563037567295,0.018594497279260068,1.7443871118296204,-1.906764482329374,168.06900000000002,0.42,11.04,3.3
45,-62.9129,-37.725,0.2544748670716893,0.08554964980065813,0.5534451701124283,0.06794432703697244,0.015403361188452631,1.69551888549257,-2.239420309449704,160.72899999999998,0.66,16.78,5.32
46,-71.0824,-21.465000000000003,0.21359777393830853,0.08643207997822627,0.545259823449754,0.07449454573132543,0.01594989565275532,1.77197499608123,-2.248156246386094,238.824,0.56,19.3,3.18
47,-56.7583,-27.590000000000003,0.2350523186639293,0.08339005272000055,0.5498949265106271,0.06311274164458042,0.018030142354750374,1.519737566458032,-2.376575550231735,175.18300000000002,0.36,15.48,3.42
48,-51.37030000000001,-19.435000000000002,0.27321648423628625,0.08011424496702996,0.6038931862296982,0.0583022279382396,0.01962332109504427,1.5993088193091474,-2.116099149452883,159.303,0.48,12.72,4.04
49,-72.7522,-32.945,0.2557975445771204,0.08212298038479839,0.6025174553665892,0.061100104333532634,0.01780527502775618,1.545676721151678,-2.2439542258323626,195.922,0.52,20.92,4.62
50,-53.33920000000001,-29.505000000000003,0.26311524967247757,0.07709205944170139,0.6258554276952786,0.06636311685808677,0.020614594134663558,1.776235695782578,-1.8727963060679538,164.192,0.44,14.22,3.36
