epoch,mean_return,best_return,std_0,std_1,std_2,std_3,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-55.15194444444445,-39.63333333333333,0.4,0.6,0.8,0.1,1.72290913287029,160.8527777777778,0.8,11.8,6.133333333333334
2,-62.34205555555556,-37.61666666666667,0.3420997396121622,0.5289832261738839,0.7935997395896756,0.13619533711791504,1.7414614559382866,170.9761111111111,0.9777777777777777,14.377777777777776,6.288888888888889
3,-58.43677777777778,-33.60833333333333,0.31414731140203167,0.3383420168552006,0.5713684251734469,0.10164645547576034,0.5881872045748455,162.3677777777778,0.911111111111111,13.2,6.077777777777778
4,-66.14166666666667,-28.46666666666667,0.34384790954646244,0.3730638053960512,0.5087946791441345,0.08692111382763974,0.5037274421647617,197.63888888888889,0.6666666666666665,16.322222222222223,5.533333333333334
5,-60.09016666666667,-39.935,0.14634581291443075,0.20479719276660488,0.37135635386238847,0.06315239336690004,-1.5845615226539338,177.56833333333336,0.7555555555555556,13.61111111111111,6.044444444444445
6,-62.94022222222223,-48.71166666666667,0.15627543546380251,0.19631644622841257,0.35527523853658854,0.05586878225930059,-1.7280204657503753,172.73555555555555,0.8777777777777778,13.611111111111107,7.466666666666668
7,-61.94761111111111,-41.28333333333333,0.14427209461190527,0.20037639668990048,0.3250272328062594,0.052921641351090065,-1.9306470127389135,182.80944444444444,1.0111111111111108,13.655555555555555,6.155555555555556
8,-57.06577777777779,-35.16833333333333,0.0867623415507968,0.13460314561494388,0.3382124810069329,0.0525259202606279,-2.8047824146416223,171.10222222222225,0.5222222222222221,13.122222222222222,5.811111111111109
9,-58.15827777777778,-35.97833333333333,0.06077520158609535,0.1751856535561735,0.37956397150119586,0.04198361577010131,-3.0059362649862575,175.13833333333332,0.9333333333333332,12.522222222222224,5.933333333333334
10,-54.711722222222214,-41.255,0.06616012689232673,0.18659787610947018,0.22206752603948962,0.02528225617920509,-3.9011487882743143,154.67277777777778,0.8555555555555554,11.833333333333334,6.077777777777779
11,-58.29788888888889,-42.89000000000001,0.06641393823632884,0.15503886197913583,0.17365824080038642,0.02567029609093033,-4.313260463745902,168.53444444444443,0.7444444444444446,12.61111111111111,6.622222222222221
12,-56.27566666666666,-40.13833333333333,0.07188786295161657,0.12115454557196358,0.22082837290489907,0.01837056928650847,-4.574956875061955,161.20111111111112,0.8333333333333333,11.78888888888889,6.622222222222222
13,-56.29127777777778,-26.248333333333335,0.08669690974886332,0.08913247049606161,0.21397051014240154,0.01627572767876316,-4.847211946346129,176.02388888888888,0.5444444444444443,12.966666666666667,5.288888888888889
14,-59.67283333333333,-34.195,0.07589792845495096,0.09394537273287172,0.42795248684695586,0.012921855466835656,-4.465231842554901,178.06166666666675,0.47777777777777775,14.255555555555558,5.722222222222223
15,-49.042722222222224,-34.718333333333334,0.03893631473889286,0.1263748039048797,0.5096681146026265,0.01596945036836775,-4.449650198140494,143.76055555555553,0.5333333333333333,10.533333333333331,5.733333333333333
16,-85.9158888888889,-54.405,0.059603392052024425,0.11496028053150543,0.6668864783029528,0.013089843460246282,-4.0485113599070015,264.7144444444445,0.9111111111111112,21.322222222222226,6.577777777777778
17,-56.89933333333334,-37.288333333333334,0.03572684590694846,0.04562463384654778,0.5336544322688462,0.007084620863605339,-6.3212419460838225,170.9933333333333,0.8111111111111111,12.344444444444443,5.9333333333333345
18,-53.85816666666666,-33.92333333333334,0.02258879764901021,0.046499141148885204,0.5744615845539824,0.007166035680723534,-6.675593210987094,161.69277777777776,0.6222222222222221,12.033333333333333,5.5666666666666655
19,-57.987833333333334,-39.15500000000001,0.024320747958653945,0.06152825617861179,0.8569481077066814,0.008801544532964698,-5.716136065393033,160.98944444444444,1.3222222222222222,11.533333333333333,6.766666666666667
20,-57.776055555555544,-31.310000000000002,0.02341502168000329,0.04005732750358172,0.6347937847380305,0.006627367995623191,-6.767069659885795,173.31611111111113,0.9888888888888888,12.877777777777778,5.366666666666666
21,-61.558499999999995,-33.13,0.02836830004467467,0.050699163351753604,0.4797262502004244,0.004391123108518477,-7.0312845915673226,181.14055555555558,0.49999999999999994,14.888888888888886,5.833333333333333
22,-62.74566666666667,-37.86166666666667,0.018146494287098625,0.045031190461517524,0.34003055786464387,0.0028488295102689484,-8.373490520827758,176.56777777777776,0.611111111111111,14.577777777777778,6.744444444444444
23,-51.10566666666667,-36.14833333333333,0.016126646656548525,0.06036807970285084,0.4723314760751155,0.003217642296648286,-7.748003619626612,151.5011111111111,0.7777777777777778,10.6,5.822222222222221
24,-63.28616666666666,-37.10166666666667,0.015158382013503375,0.06208231667188409,0.4230347583116113,0.002880341457297468,-8.002888947928803,185.75055555555554,0.7444444444444446,14.388888888888888,6.477777777777779
25,-51.55222222222222,-40.473333333333336,0.01605251330921835,0.03807859867893764,0.42996553360477324,0.0025622810537747932,-8.535146194017754,151.52222222222224,0.8444444444444443,9.888888888888888,6.622222222222222
26,-60.307666666666684,-47.379999999999995,0.015975219253931087,0.043989532792146076,0.2894092430813086,0.00218445936807463,-8.951066421999684,168.18777777777782,1.211111111111111,12.766666666666664,6.555555555555555
27,-56.39516666666667,-31.38,0.01644859825605239,0.05630651156269319,0.42791631322138163,0.0023783155310004305,-8.198896411536513,161.9516666666667,0.8555555555555556,12.544444444444444,5.844444444444444
28,-58.46544444444445,-45.336666666666666,0.012434180205579258,0.08792858306420838,0.33767991142697557,0.0034760537391345663,-7.890296798989399,167.0988888888889,1.0444444444444445,12.6,6.188888888888888
29,-57.960055555555556,-43.71,0.007937246706667237,0.08406949209977882,0.405106252184606,0.003886080359319844,-8.090506372939185,171.1561111111111,1.0444444444444445,12.366666666666669,5.966666666666666
30,-62.01288888888889,-31.525000000000006,0.008280781063386025,0.13297060150136777,0.4291928263777622,0.002489938274413954,-7.977037407933258,186.79555555555552,0.9666666666666667,14.31111111111111,5.422222222222222
