run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-23.71,209.70000000000002,117.10000000000001,1,1,21,4,5,0
2,1662057957,-56.35,-24.730000000000004,143.5,127.30000000000001,2,1,13,4,4,0
3,1405681631,-177.54000000000002,-71.07000000000001,495.40000000000003,150.70000000000002,2,3,56,18,4,4
4,942484272,-36.535,-36.25,145.35,142.5,0,0,9,8,2,3
5,929893137,-85.435,-62.455,294.35,164.55,1,0,22,19,4,4
6,1843824992,-47.61,-56.635000000000005,136.1,166.35000000000002,1,0,12,15,3,5
7,184566854,-66.455,-331.96000000000004,224.55,919.6,0,1,20,112,2,6
8,1497586438,-56.11,-44.06,181.10000000000002,140.6,0,0,15,12,4,3
9,432652533,-85.1,-63.5,251.0,175.0,0,0,22,14,8,9
10,202244314,-133.13,-47.735,371.3,177.35000000000002,2,2,43,11,1,0
11,1130604997,-61.115,-45.305,151.15,153.05,0,0,16,12,7,3
12,2095133045,-82.07000000000001,-47.730000000000004,220.70000000000002,157.3,0,1,26,10,4,4
13,1580016183,-36.84,-71.795,128.4,177.95000000000002,0,1,8,20,4,5
14,1634535062,-40.56,-37.835,145.6,138.35,2,1,7,8,2,2
15,1540770719,-115.41,-29.245000000000005,334.1,132.45000000000002,1,0,36,7,3,1
16,1688060240,-100.02,-51.97,280.2,159.70000000000002,1,0,33,15,1,3
17,1102145672,-46.885,-33.910000000000004,148.85,119.10000000000001,0,0,13,8,3,3
18,275121930,-56.365,-33.905,203.65,139.05,0,0,11,8,7,2
19,1803345590,-35.015,-23.92,130.15,119.2,0,0,7,4,4,2
20,967196436,-46.370000000000005,-46.995000000000005,163.70000000000002,169.95000000000002,0,1,10,9,5,4
