epoch,mean_return,best_return,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-77.503,-62.98999999999999,229.03,0.5555555555555555,18.38888888888889,7.799999999999999
2,-74.32266666666668,-67.31333333333333,209.67111111111114,0.5222222222222223,17.755555555555556,7.877777777777778
3,-73.30622222222222,-64.41000000000001,204.3955555555556,0.7666666666666665,17.01111111111111,7.8888888888888875
4,-70.7373888888889,-60.94,204.04055555555564,0.38888888888888895,16.22222222222222,8.166666666666666
5,-73.25794444444446,-63.879999999999995,203.2461111111111,0.7999999999999999,17.666666666666668,7.200000000000001
6,-67.93655555555556,-55.21,207.36555555555555,0.6777777777777776,14.71111111111111,7.533333333333333
7,-70.78783333333332,-57.626666666666665,209.43388888888884,0.7888888888888891,15.633333333333331,7.711111111111111
8,-68.47183333333334,-61.67166666666666,201.38500000000005,0.8888888888888891,15.133333333333331,7.255555555555556
9,-72.21905555555556,-60.36500000000001,199.9683333333333,1.211111111111111,16.38888888888889,7.3
10,-66.94872222222223,-58.08166666666667,192.5983333333333,0.5444444444444444,14.98888888888889,7.766666666666666
11,-67.82194444444444,-57.82,199.10833333333338,0.4555555555555555,15.5,7.544444444444445
12,-67.06505555555557,-58.06666666666667,197.53944444444448,0.3,15.388888888888891,7.666666666666666
13,-69.81394444444445,-62.421666666666674,198.1394444444445,1.6444444444444444,14.588888888888887,7.122222222222223
14,-68.18111111111112,-59.395,202.92222222222227,0.7555555555555556,15.088888888888885,7.344444444444445
15,-67.13055555555555,-58.60666666666666,199.52777777777774,0.9444444444444445,14.444444444444448,7.2555555555555555
16,-63.583222222222226,-51.776666666666664,198.49888888888893,0.7222222222222222,13.677777777777779,6.744444444444443
17,-71.26733333333335,-62.745000000000005,206.89555555555555,0.5666666666666667,16.91111111111111,7.2444444444444445
18,-68.96655555555556,-60.823333333333345,209.6655555555556,0.6333333333333334,15.166666666666664,7.5666666666666655
19,-70.35388888888887,-63.01333333333334,204.42777777777783,1.2333333333333334,14.822222222222221,7.666666666666668
20,-68.21122222222222,-59.470000000000006,199.89000000000001,1.0555555555555556,15.077777777777778,6.9222222222222225
21,-71.62055555555555,-62.731666666666676,201.53888888888892,0.6888888888888888,15.711111111111112,8.644444444444446
22,-76.14722222222221,-64.79,202.13888888888889,1.2777777777777777,17.555555555555557,7.855555555555556
23,-65.97844444444443,-59.42666666666668,202.0066666666667,0.7222222222222224,14.133333333333331,7.311111111111111
24,-67.22372222222222,-52.616666666666674,203.5705555555556,0.6333333333333332,14.877777777777778,7.28888888888889
25,-70.08122222222224,-61.416666666666664,193.92333333333335,1.188888888888889,15.28888888888889,7.677777777777779
26,-68.8618888888889,-59.875,203.28555555555553,0.7,15.177777777777775,7.688888888888888
27,-70.59511111111111,-57.48666666666666,210.3955555555556,0.9444444444444444,15.799999999999999,7.08888888888889
28,-70.35833333333333,-61.800000000000004,208.02777777777786,0.9555555555555556,15.311111111111112,7.555555555555555
29,-68.64916666666667,-56.81666666666666,208.26944444444445,0.5555555555555555,15.177777777777774,7.622222222222222
30,-70.24294444444443,-60.97166666666667,205.31833333333336,0.5,16.07777777777778,7.777777777777778
