epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-79.0043,-39.615,0.4,0.6,0.8,0.1,0.08,0.6161190217667072,207.64300000000003,0.36,24.42,3.98
2,-59.422200000000004,-28.075000000000003,0.3393909627216058,0.42911851526155453,0.8543416777498678,0.03904608500868023,0.07533362922743708,-0.8181974049252485,183.422,0.46,16.3,3.32
3,-56.92400000000001,-21.380000000000003,0.28562667067562336,0.2882927542472422,0.8800725305638479,0.02231178348201451,0.10372757184008571,-1.5985344143680034,184.03999999999996,0.76,15.4,2.34
4,-49.051700000000004,-17.840000000000003,0.3108218906747818,0.32083884015118913,1.1167887145209947,0.028056548337764324,0.13310157775920015,-0.6903774750200666,168.917,0.24,12.68,2.92
5,-44.5256,-13.730000000000002,0.45632631530142065,0.32783553504671886,0.9834568350703423,0.013182693089229607,0.10902716518656366,-1.3667878459263703,162.856,0.46,10.6,2.6
6,-47.63900000000002,-14.795000000000002,0.6781536951706973,0.5737758148892167,0.6375747705754209,0.01502452041504384,0.06461841215907617,-1.2366165177280137,165.59000000000003,0.22,12.48,2.62
7,-51.4929,-17.39,0.31843762589452,0.3894559117430559,0.43920179894808414,0.013071811376288415,0.04629034703140772,-3.2255558966653632,169.32899999999998,0.48,13.88,2.44
8,-58.07549999999999,-21.35,0.31543366106747345,0.21689665690225565,0.3751986546842762,0.0071343694813446315,0.04410508788352234,-4.631759674373166,189.55500000000004,0.52,15.2,3.32
9,-60.806400000000004,-25.590000000000003,0.48011302150125773,0.08960987942262241,0.18737256741102193,0.0038393052290439387,0.023414821693641764,-7.042836994198284,191.66400000000002,0.6,15.18,4.44
10,-56.343,-18.97,1.1393372595239846,0.12543324387275367,0.12893260255374425,0.0028998910397549206,0.03362432408813993,-6.1348953050768165,177.02999999999997,0.54,15.08,3.16
11,-72.3885,-21.090000000000003,0.7257673933025421,0.060157384508769826,0.16289835087901663,0.0029536288686479433,0.017246933377991353,-7.7360946733318645,224.285,0.52,20.6,3.34
12,-52.06050000000001,-13.880000000000003,0.5235843223569823,0.12027272692616833,0.18262767243267664,0.0031503736113032547,0.02002942634329104,-7.0414506835204485,182.20500000000004,0.94,12.26,2.78
13,-64.1658,-35.55,0.2653546086557258,0.17060941280899122,0.1588077340855069,0.0022642528524503755,0.022334992563878792,-7.732546132430103,161.25799999999998,1.26,15.98,5.52
14,-68.3525,-34.055,0.30195262303981274,0.10628586358890434,0.1077381231769143,0.0021108322545409517,0.020911248988655692,-8.600608267036243,183.52500000000003,1.16,19.38,3.3
15,-58.551100000000005,-21.630000000000003,0.27849186212676547,0.1032354529203226,0.07986767665583265,0.0018767458109447731,0.013264254437723492,-9.582699230604518,177.91100000000003,1.52,13.96,3.38
16,-61.0932,-18.645000000000003,0.13089611334162982,0.08734188341601468,0.17170662581320967,0.0030061378740175904,0.00939809687295489,-9.612898914572277,205.73200000000006,0.26,16.62,3.12
17,-62.52129999999999,-29.980000000000004,0.0546825820230719,0.049973065429721186,0.18998920084315046,0.0035126099907910303,0.007030098409328684,-11.077527043300105,170.01300000000003,0.38,18.22,3.78
18,-55.8697,-15.510000000000002,0.039296555857606864,0.029289749087208064,0.12412390325860166,0.0024923215413693,0.004581699128321028,-13.139144430129402,177.097,0.62,14.62,3.22
19,-65.80390000000001,-37.71,0.036989229574163396,0.03379798705593385,0.11893007282110513,0.0024265103439146387,0.0029042967442366513,-13.58187457886482,167.639,1.04,17.34,5.1
20,-42.7637,-21.175,0.02073383938688118,0.02272513513589261,0.07205587424244334,0.002156926602044028,0.0029338169634489162,-15.166414542395412,152.03699999999998,0.38,9.94,3.08
21,-80.4151,-27.9,0.014959514162672145,0.008364438220703407,0.061971957292259516,0.0011236949732526277,0.002266710376882484,-17.553113131988585,234.55100000000002,0.34,24.16,3.64
22,-52.4651,-20.29,0.010925087360738493,0.008813590790212123,0.05967021293060822,0.000817621177113143,0.000756505941564339,-19.2682951535203,180.25100000000003,0.32,13.34,3.24
23,-55.18620000000001,-27.69,0.009739295086499691,0.010680044172828513,0.0642468550341956,0.0004255674395760468,0.0003971546806556391,-20.414566542649673,153.062,0.36,14.46,4.76
24,-47.5292,-26.1,0.014425606455170905,0.009667020378958025,0.01596992591565739,0.0002217382004357449,0.00027706826574897735,-22.525400647333242,152.892,0.16,12.58,3.22
25,-52.03119999999999,-15.635000000000002,0.012095304944032015,0.008970727725168345,0.013340360053851643,0.00011589283031819257,0.0002215978769333217,-23.828485836771385,169.51200000000006,0.38,13.56,3.22
26,-60.463,-19.335,0.005365673434579171,0.006063335224174624,0.009730465164015349,6.33310034219736e-05,0.00013847784555090257,-26.422965329345573,193.83,1.04,15.28,3.18
27,-77.2304,-27.745,0.006309264180680066,0.004519685773992765,0.012812853691362496,4.4367545636012545e-05,6.353700532607047e-05,-27.414553149404284,213.50400000000002,1.2,20.84,4.7
28,-60.216800000000006,-36.875,0.01051816567842902,0.004049724274531583,0.01062975817494452,4.071663856355173e-05,7.004466773149478e-05,-27.188414250862827,154.168,1.16,16.48,3.6
29,-77.344,-36.78,0.011329063386719117,0.003955724699188573,0.005820572977009691,7.909247051395184e-05,7.005614256358479e-05,-27.075745716698613,208.64,0.36,22.68,4.84
30,-46.95499999999999,-46.955,0.007905898050621035,0.0021734095057793622,0.004218357817722016,6.666152044014842e-05,4.445792978562999e-05,-28.98207094690258,149.55,1.0,12.0,2.0
