run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-49.040000000000006,209.70000000000002,170.4,1,1,21,10,5,4
2,1662057957,-56.35,-104.51,143.5,245.10000000000002,2,3,13,29,4,5
3,1405681631,-177.54000000000002,-37.995000000000005,495.40000000000003,119.95,2,2,56,7,4,2
4,942484272,-36.535,-42.36,145.35,143.6,0,0,9,10,2,4
5,929893137,-85.435,-61.08500000000001,294.35,170.85000000000002,1,1,22,15,4,5
6,1843824992,-47.61,-45.05,136.1,150.5,1,0,12,12,3,3
7,184566854,-66.455,-54.150000000000006,224.55,181.5,0,0,20,14,2,4
8,1497586438,-56.11,-360.0,181.10000000000002,1000.0,0,0,15,124,4,6
9,432652533,-85.1,-35.475,251.0,134.75,0,1,22,7,8,2
10,202244314,-133.13,-39.485,371.3,114.85000000000001,2,1,43,8,1,4
11,1130604997,-61.115,-52.875,151.15,148.75,0,1,16,11,7,6
12,2095133045,-82.07000000000001,-54.44,220.70000000000002,144.4,0,0,26,13,4,7
13,1580016183,-36.84,-37.7,128.4,117.0,0,0,8,9,4,4
14,1634535062,-40.56,-26.875,145.6,128.75,2,1,7,2,2,3
15,1540770719,-115.41,-21.340000000000003,334.1,113.4,1,0,36,5,3,0
16,1688060240,-100.02,-27.92,280.2,119.2,1,0,33,6,1,2
17,1102145672,-46.885,-74.85,148.85,188.5,0,0,13,21,3,7
18,275121930,-56.365,-37.405,203.65,134.05,0,1,11,10,7,0
19,1803345590,-35.015,-23.05,130.15,110.5,0,0,7,5,4,1
20,967196436,-46.370000000000005,-26.515,163.70000000000002,125.15,0,0,10,5,5,2
