epoch,mean_return,best_return,success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-50.972840000000005,-31.318,1.0,153.72840000000002,2.4,9.6,3.4
2,-54.02292,-46.28,1.0,156.2292,2.2,10.2,4.6
3,-47.65628,-32.9446,0.8,156.5628,2.2,9.4,2.2
4,-58.59828,-39.2112,0.8,165.9828,2.2,12.8,3.8
5,-51.33948,-45.2282,1.0,161.3948,2.0,10.2,3.4
6,-55.3814,-46.9132,1.0,157.81400000000002,2.4,11.8,3.2
7,-52.06668,-41.3468,0.8,164.6668,2.0,11.2,2.6
8,-62.68556000000001,-48.037000000000006,0.8,174.8556,2.2,14.8,3.4
9,-59.58292,-53.4606,1.0,167.8292,2.2,12.8,4.2
10,-46.80504,-40.8598,1.0,152.0504,2.4,9.2,1.8
11,-49.682080000000006,-31.434600000000003,1.0,160.82080000000002,2.2,8.8,3.6
12,-51.13864,-35.5574,0.8,163.3864,2.2,10.6,2.4
13,-55.304280000000006,-37.9782,0.8,165.0428,2.2,12.2,2.8
14,-51.323440000000005,-37.571799999999996,1.0,169.2344,2.4,9.0,3.4
15,-50.409839999999996,-43.6276,1.0,148.09840000000003,2.4,8.6,4.4
16,-60.5596,-52.38,0.6,173.596,2.0,15.8,1.8
17,-50.060680000000005,-44.1132,1.0,160.60680000000002,2.0,9.2,3.8
18,-50.60108,-42.1002,1.0,154.0108,2.2,9.6,3.6
19,-59.24144000000001,-46.232,0.6,172.41440000000003,2.2,12.2,4.4
20,-53.58608,-42.900999999999996,0.6,175.86079999999998,2.0,12.4,1.6
21,-47.881119999999996,-37.449,1.0,150.8112,2.2,8.2,3.8
22,-51.51976,-43.7096,0.8,163.19760000000002,2.0,11.6,2.0
23,-45.24732,-41.9102,1.0,144.47320000000002,2.4,8.4,2.2
24,-53.67232,-39.6432,0.8,160.7232,2.2,11.0,3.4
25,-43.1502,-29.1168,1.0,143.502,2.0,7.8,2.6
26,-53.32900000000001,-42.019800000000004,1.0,161.29000000000002,2.2,10.0,4.2
27,-58.46824,-49.6206,0.8,168.6824,2.4,12.2,3.8
28,-57.42976,-45.282,0.6,174.29760000000002,2.2,12.0,3.6
29,-55.81524,-52.2232,0.8,166.1524,2.4,11.2,3.6
30,-58.710840000000005,-48.247600000000006,1.0,163.10840000000002,2.2,13.8,3.0
