epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-28.145875,-9.155000000000001,0.4,0.6,0.8,0.1,0.08,0.6161190217667072,179.41750000000002,0.2,14.225,2.5
2,-34.4948125,-12.3325,0.4140301141955526,0.5886908945802538,0.7809243907248785,0.09812271549823402,0.09424918190279644,0.7523956056158339,199.89625,0.5,16.625,3.25
3,-31.219624999999997,-14.4025,0.3045336907797313,0.5397890398541944,0.6717562619638076,0.10818292705828544,0.07154171625123791,0.029876247716175808,174.64249999999998,0.225,16.0,3.425
4,-38.461875,-14.605,0.26000753364359147,0.5825803152067301,0.8168658456973381,0.09282997605148595,0.06437608160284891,-0.11491942292679314,220.2375,0.375,21.375,2.55
5,-35.63362500000001,-13.395,0.22729730292620576,0.5177122619226675,0.9038863839794407,0.1137115651093643,0.0628576158633408,-0.08716436922245885,191.17249999999999,0.325,18.05,4.05
6,-39.1854375,-20.9125,0.2520421201247733,0.3932552954506543,0.7400091571743036,0.1067021547632489,0.07148677869730442,-0.3938120716227793,191.45875,0.525,17.575,5.925
7,-29.390687500000002,-9.190000000000001,0.18505107960549627,0.37065392569589356,0.8342168666924601,0.0880194855484901,0.058892747086015045,-1.0284134626797619,167.81375,0.275,14.025,3.55
8,-38.5529375,-14.0775,0.185645179267464,0.28183070003366584,0.6332469280877874,0.08245137289775029,0.06151684554559013,-1.5965597926142452,218.80875,0.4,19.475,3.825
9,-27.67225,-9.97,0.1867718473936701,0.2560857125146274,0.6139302382536992,0.06392633047511502,0.05755413965556507,-2.038345020103414,177.445,0.625,11.0,2.7
10,-24.9675,-12.025,0.17506138225361906,0.2276414006912488,0.6895564273398439,0.06377761996293002,0.058251387297138,-2.0949566890204907,168.35,0.075,12.05,2.7
11,-35.2726875,-17.17,0.14221399648484542,0.24090945025504065,0.6821720158464977,0.07056883053800793,0.0458847937432859,-2.3943254773057037,173.70374999999999,1.425,13.275,3.175
12,-47.1980625,-23.3475,0.12204035604377252,0.22175921777207072,0.47072389566231726,0.05935435272793318,0.03705378468452196,-3.3879720940285045,202.96125,0.525,24.675,6.15
13,-32.625187499999996,-15.645,0.10874311687441741,0.27283769445440126,0.4897186183866419,0.056434370035421906,0.036286412875869034,-3.3278655425333374,191.50375000000003,0.9,13.225,2.95
14,-56.8953125,-9.7125,0.15438120821741283,0.28235575921708633,0.47300033036573946,0.05967680257287087,0.036375795886087234,-2.919547903299758,341.15625,0.35,33.05,3.125
15,-37.8370625,-15.920000000000002,0.10317458440901862,0.3031942162597795,0.3930772125039757,0.0486258683306729,0.029834516280445103,-3.8394598941391616,193.74125,0.8,17.65,3.8
16,-45.4774375,-25.3275,0.10146011088548355,0.30477438977220095,0.43305505943985795,0.0558803041041509,0.03571360103964563,-3.4352377544471846,191.04875,0.625,21.075,7.4
17,-41.724374999999995,-22.8875,0.09065734100991918,0.3047792179446103,0.5460633371804554,0.0653491009977143,0.03771868089615497,-3.104775033527081,210.7375,1.45,17.575,3.275
18,-48.5336875,-27.8125,0.07548458945885043,0.31221618290663583,0.44014245636233595,0.057970441516725695,0.028085105197662198,-3.89418830253613,216.92375,0.5,23.325,7.575
19,-37.6560625,-22.975,0.07881377099413568,0.3657417341636485,0.47417586121386923,0.059943241519111026,0.027334146624021234,-3.6119554279074926,159.37125,0.475,19.525,4.875
20,-30.400625,-14.067499999999999,0.08066736091978324,0.30659768806356225,0.4747180037690383,0.054368984901183845,0.027338561633648503,-3.861400227314747,177.0125,0.675,12.775,3.15
