learning_seed,epoch,mean_return,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
233227757,22,-56.99400000000001,173.94,0.7,15.15,3.25
233227757,23,-57.625750000000004,177.2575,0.75,14.95,3.5
233227757,24,-51.35825,163.5825,0.6,12.8,3.5
233227757,25,-46.547,149.47000000000003,0.8,11.0,3.2
233227757,26,-67.577,207.76999999999998,1.0,17.8,3.6
233227757,27,-64.29525,200.9525,0.9,16.85,3.45
233227757,28,-54.04350000000001,165.435,0.8,13.35,3.8
233227757,29,-57.209,169.08999999999997,0.65,14.2,4.65
233227757,30,-47.142,149.42,0.65,11.7,3.1
3276785861,0,-69.51474999999999,213.14749999999998,0.6,19.45,3.45
3276785861,1,-48.89725,157.97250000000003,0.6,12.05,3.3
3276785861,2,-49.1055,158.055,0.65,12.3,3.05
3276785861,3,-95.29075000000002,290.9075,0.4,28.6,3.7
3276785861,4,-53.44649999999999,169.465,0.65,13.95,3.0
3276785861,5,-51.8395,159.39500000000004,0.95,12.9,3.15
3276785861,6,-80.60999999999999,242.10000000000005,0.75,23.3,3.4
3276785861,7,-47.187250000000006,146.87250000000003,0.8,10.95,3.7
3276785861,8,-56.77049999999999,175.70499999999998,0.6,15.0,3.4
3276785861,9,-51.391750000000016,161.91750000000002,0.75,13.25,2.85
3276785861,10,-48.069,155.69,0.45,11.65,3.7
3276785861,11,-58.32000000000001,173.2,0.5,15.85,3.65
3276785861,12,-62.54299999999999,194.43,0.5,16.9,3.65
3276785861,13,-74.38624999999999,229.8625,0.75,20.75,3.45
3276785861,14,-70.88475000000001,214.8475,0.7,19.75,3.55
3276785861,15,-70.00574999999999,204.0575,0.8,19.9,3.3
3276785861,16,-70.63450000000002,212.34500000000003,0.85,19.3,3.7
3276785861,17,-66.21199999999999,196.12,0.55,18.75,3.45
3276785861,18,-67.66975000000001,209.69750000000005,0.6,19.2,2.95
3276785861,19,-44.8155,148.155,0.75,10.4,3.1
3276785861,20,-54.212250000000004,171.1225,0.8,14.45,2.5
3276785861,21,-55.98199999999999,176.82,0.7,14.5,3.25
3276785861,22,-48.2695,148.69500000000002,0.75,12.15,3.05
3276785861,23,-59.89725000000001,195.97250000000003,0.55,15.5,3.55
3276785861,24,-66.43249999999999,217.325,0.7,18.05,2.9
3276785861,25,-51.150749999999995,162.50749999999996,0.7,13.25,2.8
3276785861,26,-52.3495,166.495,0.55,12.8,3.95
3276785861,27,-57.571749999999994,167.71750000000003,0.85,14.85,3.85
3276785861,28,-57.26275,172.6275,0.55,15.35,3.55
3276785861,29,-61.81400000000001,187.14,1.0,16.45,3.1
3276785861,30,-51.749249999999996,161.4925,0.6,13.05,3.55
3644269654,0,-69.51474999999999,213.14749999999998,0.6,19.45,3.45
3644269654,1,-69.3585,202.58500000000004,0.8,19.95,3.0
3644269654,2,-62.56825,199.6825,0.5,16.7,3.6
3644269654,3,-74.45,210.5,0.8,21.15,3.95
3644269654,4,-54.37125000000001,168.71250000000003,0.45,14.25,3.6
3644269654,5,-63.32750000000001,192.27499999999995,0.75,17.45,3.1
3644269654,6,-52.588750000000005,160.8875,0.6,13.1,3.95
3644269654,7,-48.31325,158.1325,0.7,12.15,2.7
3644269654,8,-52.284000000000006,164.84,0.75,12.3,4.1
3644269654,9,-68.69975000000002,184.9975,1.1,18.3,4.6
3644269654,10,-49.642,157.42000000000002,0.45,12.15,3.9
3644269654,11,-39.928000000000004,137.28000000000003,0.65,9.6,2.2
3644269654,12,-53.156499999999994,165.565,0.55,13.55,3.65
3644269654,13,-43.56175,140.6175,0.7,10.4,2.95
3644269654,14,-52.36749999999999,166.675,0.6,13.55,3.1
3644269654,15,-57.38074999999999,182.8075,0.6,15.5,2.85
3644269654,16,-41.025250000000014,143.2525,0.35,10.2,2.45
3644269654,17,-50.006750000000004,155.06749999999997,0.7,11.8,4.05
3644269654,18,-43.66,141.60000000000005,0.6,10.5,3.05
3644269654,19,-67.00225000000002,213.02249999999998,0.5,18.8,3.05
3644269654,20,-40.75725,141.57250000000002,0.8,9.25,2.45
3644269654,21,-35.691250000000004,130.91250000000002,0.4,8.4,2.1
3644269654,22,-62.311249999999994,198.1125,0.5,17.25,3.0
3644269654,23,-39.691250000000004,140.91250000000002,0.45,9.6,2.3
3644269654,24,-45.206,154.06,0.35,12.1,2.1
3644269654,25,-43.946000000000005,151.46,0.8,10.85,1.95
3644269654,26,-31.990500000000004,122.90500000000002,0.55,7.2,1.55
3644269654,27,-36.9715,134.71499999999997,0.55,8.55,2.1
3644269654,28,-44.607000000000006,145.07000000000002,0.55,11.95,2.0
3644269654,29,-32.248000000000005,117.47999999999999,0.55,7.35,1.8
3644269654,30,-29.25275,114.52749999999999,0.4,6.9,1.2
