epoch,mean_return,best_return,success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-65.965,-65.965,1.0,219.65,1.0,14.0,6.0
2,-84.405,-84.405,1.0,204.05,2.0,24.0,4.0
3,-70.295,-70.295,1.0,202.95000000000002,1.0,15.0,8.0
4,-64.735,-64.735,1.0,207.35000000000002,0.0,17.0,5.0
5,-79.035,-79.035,1.0,210.35000000000002,3.0,16.0,7.0
6,-70.6,-70.6,1.0,206.0,0.0,20.0,5.0
7,-86.995,-86.995,1.0,209.95000000000002,2.0,19.0,10.0
8,-53.725,-53.725,1.0,197.25,0.0,11.0,6.0
9,-57.275000000000006,-57.275000000000006,1.0,192.75,0.0,12.0,7.0
10,-77.72,-77.72,1.0,197.20000000000002,0.0,20.0,9.0
11,-62.345,-62.345,1.0,203.45000000000002,0.0,14.0,7.0
12,-86.85,-86.85,1.0,228.5,0.0,23.0,9.0
13,-58.83500000000001,-58.83500000000001,1.0,208.35000000000002,0.0,14.0,5.0
14,-61.885000000000005,-61.885000000000005,1.0,198.85000000000002,0.0,14.0,7.0
15,-74.19,-74.19,1.0,201.9,1.0,17.0,8.0
16,-68.89,-68.89,1.0,208.9,1.0,13.0,9.0
17,-52.905,-52.905,1.0,189.05,0.0,10.0,7.0
18,-69.6,-69.6,1.0,216.0,0.0,20.0,4.0
19,-53.74,-53.74,1.0,197.4,0.0,11.0,6.0
20,-86.755,-86.755,1.0,227.55,1.0,22.0,8.0
