following_time,hhd,hrd,density,engaged,overwhelmed,distracted,impatient,max_out,top2_out,margin,spread,dominant_state,low_conf_flag,ambiguous_flag,flat_flag,conf_eng_ovw,conf_eng_dis,conf_eng_imp,conf_ovw_dis,conf_ovw_imp,conf_dis_imp,any_conflict
0,0,0,7,0.816948356807512,0.816948356807512,0.5,0.5,0.816948356807512,0.816948356807512,0,0.316948356807512,engaged,0,1,0,1,0,0,0,0,0,1
5,0,0,7,0.816948356807512,0.816948356807512,0.5,0.5,0.816948356807512,0.816948356807512,0,0.316948356807512,engaged,0,1,0,1,0,0,0,0,0,1
15,0,0,7,0.787829457364341,0.816948356807512,0.5,0.5,0.816948356807512,0.787829457364341,0.0291188994431707,0.316948356807512,overwhelmed,0,1,0,1,0,0,0,0,0,1
0,0.3,0,7,0.816948356807512,0.816948356807512,0.5,0.5,0.816948356807512,0.816948356807512,0,0.316948356807512,engaged,0,1,0,1,0,0,0,0,0,1
5,0.3,0,7,0.816948356807512,0.816948356807512,0.5,0.5,0.816948356807512,0.816948356807512,0,0.316948356807512,engaged,0,1,0,1,0,0,0,0,0,1
15,0.3,0,7,0.787829457364341,0.816948356807512,0.5,0.5,0.816948356807512,0.787829457364341,0.0291188994431707,0.316948356807512,overwhelmed,0,1,0,1,0,0,0,0,0,1
0,0.55,0,7,0.700528052805281,0.787829457364341,0.5,0.5,0.787829457364341,0.700528052805281,0.0873014045590602,0.287829457364341,overwhelmed,0,0,0,1,0,0,0,0,0,1
5,0.55,0,7,0.700528052805281,0.787829457364341,0.5,0.5,0.787829457364341,0.700528052805281,0.0873014045590602,0.287829457364341,overwhelmed,0,0,0,1,0,0,0,0,0,1
15,0.55,0,7,0.638721461187215,0.787829457364341,0.5,0.5,0.787829457364341,0.638721461187215,0.149107996177126,0.287829457364341,overwhelmed,0,0,0,1,0,0,0,0,0,1
25,0.55,0,7,0.638721461187215,0.787829457364341,0.5,0.5,0.787829457364341,0.638721461187215,0.149107996177126,0.287829457364341,overwhelmed,0,0,0,1,0,0,0,0,0,1
35,0.55,0,7,0.638721461187215,0.787829457364341,0.5,0.5,0.787829457364341,0.638721461187215,0.149107996177126,0.287829457364341,overwhelmed,0,0,0,1,0,0,0,0,0,1
0,0,0.5,7,0.816948356807512,0.816948356807512,0.5,0.5,0.816948356807512,0.816948356807512,0,0.316948356807512,engaged,0,1,0,1,0,0,0,0,0,1
5,0,0.5,7,0.816948356807512,0.816948356807512,0.5,0.5,0.816948356807512,0.816948356807512,0,0.316948356807512,engaged,0,1,0,1,0,0,0,0,0,1
