following_time,hhd,hrd,density,engaged,overwhelmed,distracted,impatient,dominant_state,dominant_value
long,medium,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,medium,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,medium,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
long,medium,far,low,0.5,0.5,0.816948356807512,0.5,distracted,0.816948356807512
long,medium,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,medium,far,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
long,far,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,far,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,far,close,crowded,0.5,0.5,0.5,0.5,engaged,0.5
long,far,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,far,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,far,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
long,far,far,low,0.5,0.5,0.816948356807512,0.5,distracted,0.816948356807512
long,far,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,far,far,crowded,0.5,0.5,0.5,0.5,engaged,0.5
