run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-67.485,209.70000000000002,194.85000000000002,1,2,21,17,5,3
2,1662057957,-56.35,-38.4,143.5,124.0,2,2,13,7,4,2
3,1405681631,-177.54000000000002,-48.53,495.40000000000003,125.30000000000001,2,2,56,12,4,2
4,942484272,-36.535,-144.91,145.35,389.1,0,1,9,45,2,6
5,929893137,-85.435,-113.41,294.35,334.1,1,1,22,36,4,2
6,1843824992,-47.61,-325.125,136.1,951.25,1,1,12,106,3,7
7,184566854,-66.455,-253.505,224.55,715.0500000000001,0,0,20,87,2,4
8,1497586438,-56.11,-30.965000000000003,181.10000000000002,129.65,0,1,15,5,4,2
9,432652533,-85.1,-93.625,251.0,276.25,0,0,22,25,8,8
10,202244314,-133.13,-141.635,371.3,376.35,2,1,43,45,1,5
11,1130604997,-61.115,-31.985,151.15,139.85,0,0,16,8,7,1
12,2095133045,-82.07000000000001,-36.68,220.70000000000002,126.80000000000001,0,1,26,6,4,4
13,1580016183,-36.84,-67.84,128.4,178.4,0,1,8,20,4,3
14,1634535062,-40.56,-43.755,145.6,157.55,2,2,7,9,2,1
15,1540770719,-113.47,-48.03,334.70000000000005,160.3,1,0,36,12,2,4
16,1688060240,-100.02,-26.42,280.2,124.2,1,0,33,5,1,2
17,1102145672,-46.885,-61.435,148.85,174.35000000000002,0,0,13,15,3,7
18,275121930,-56.365,-162.42000000000002,203.65,484.20000000000005,0,0,11,52,7,5
19,1803345590,-35.015,-34.625,130.15,146.25,0,0,7,7,4,3
20,967196436,-46.370000000000005,-22.57,163.70000000000002,145.70000000000002,0,0,10,4,5,0
