epoch,mean_return,best_return,success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
2,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
3,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
4,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
5,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
6,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
7,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
8,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
9,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
10,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
11,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
12,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
13,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
14,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
15,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
16,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
17,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
18,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
19,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
20,-63.410000000000004,-63.410000000000004,1.0,194.10000000000002,0.0,13.0,9.0
