epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-60.37427777777779,-35.050000000000004,0.4,0.6,0.8,0.1,0.08,0.6161190217667072,179.07611111111112,0.49999999999999994,16.8,3.4333333333333322
2,-49.159166666666664,-25.60666666666667,0.41906607353986847,0.3322882291198249,0.608638791646766,0.033407957411434035,0.018314642750971884,-2.772332393438096,170.70277777777784,0.3666666666666666,12.666666666666664,2.644444444444444
3,-53.03183333333334,-24.755000000000006,0.38013048623761725,0.2902218052518472,0.21897667596093978,0.014980032153056612,0.023620912447937025,-4.5751078874403,183.42944444444444,0.3222222222222222,13.81111111111111,2.888888888888889
4,-51.87988888888889,-24.53,0.1533169391295925,0.2367496501302428,0.33166265881443346,0.036658546501178474,0.01966153050945409,-4.560144279672249,178.13222222222228,0.6555555555555554,13.08888888888889,2.633333333333333
5,-73.02688888888889,-40.71333333333334,0.06671450234998397,0.1951683157996641,0.3089709150940552,0.042125575038049735,0.009735291952002711,-6.220139214658184,203.15777777777777,1.3,20.011111111111113,3.7444444444444445
6,-57.439166666666665,-30.028333333333336,0.12035698003406263,0.07749280733918186,0.050943268742466956,0.00925327605487602,0.001975561874745777,-11.466893300698668,181.94722222222222,0.3333333333333333,15.511111111111113,3.4444444444444438
7,-57.698277777777776,-37.71,0.056546695594123446,0.025377732835654997,0.017631677264947097,0.008305441019059154,0.001104756030997887,-15.088912334339923,166.53833333333338,0.6,14.666666666666666,4.655555555555555
8,-56.978111111111126,-31.208333333333332,0.03585611827772366,0.02102607168420492,0.014617734267661546,0.0028616021474448575,0.0013023752099431836,-16.820999527879277,169.11444444444444,0.23333333333333334,15.488888888888889,4.0777777777777775
9,-53.54694444444444,-31.791666666666668,0.01724154140345411,0.02581983548294408,0.01056048741772567,0.002067545750692492,0.000601088833471441,-18.77114988094658,168.5805555555556,0.7777777777777778,13.38888888888889,3.4000000000000004
10,-63.784055555555554,-40.285,0.016277343377315,0.015310234590915687,0.005412516892496094,0.002715322145090221,0.0006230705489545477,-19.711258743977023,169.61833333333334,0.5666666666666667,18.455555555555556,3.8222222222222224
11,-58.61355555555555,-39.93666666666667,0.02592939299128685,0.015008952719325853,0.003990161995699825,0.0056433591248866094,0.00025441421688294634,-19.734539924975305,168.3577777777778,0.9333333333333335,15.722222222222223,3.3000000000000003
12,-70.509,-39.095,0.018084535521614653,0.011421313777877654,0.0037429141388012088,0.007169499017843915,0.00020904312544639314,-20.389059744182152,204.20111111111112,1.2111111111111112,19.133333333333333,3.488888888888889
13,-54.76688888888889,-24.44,0.020655079125995714,0.005903929125948418,0.0014145244924914909,0.002560719652971985,9.164695380553668e-05,-23.743234176559106,186.78000000000003,0.2111111111111111,14.611111111111112,3.011111111111112
14,-58.94566666666667,-33.608333333333334,0.009660749629791554,0.002840568106496381,0.0004809608320604127,0.001188909104650191,7.850229018785964e-05,-27.235569167352097,175.45666666666668,0.6000000000000001,16.26666666666667,3.2333333333333334
15,-66.72755555555555,-37.05500000000001,0.009000188388851653,0.0013102862073279668,0.00045087795539278813,0.0014121467869402746,6.095869437336238e-05,-28.225598907603455,197.27555555555554,0.6333333333333332,18.344444444444445,3.888888888888889
