epoch,mean_return,best_return,success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-75.23866666666667,-65.61166666666668,1.0,219.72000000000003,0.31666666666666665,18.45,7.55
2,-77.41875000000002,-67.78500000000001,1.0,223.85416666666669,0.5166666666666666,18.783333333333335,7.7
3,-74.744,-68.16333333333334,1.0,220.44,0.45,18.166666666666668,7.283333333333334
4,-74.10616666666667,-62.961666666666666,1.0,220.39499999999998,0.26666666666666666,17.583333333333336,7.916666666666667
5,-71.70450000000001,-60.03,1.0,214.04500000000002,0.3833333333333333,17.116666666666667,7.2666666666666675
6,-74.40599999999999,-67.91666666666667,1.0,219.06,0.41666666666666663,17.833333333333336,7.583333333333333
7,-73.21941666666667,-62.18166666666667,1.0,214.5275,0.35,17.450000000000003,7.733333333333332
8,-75.05166666666666,-64.75666666666667,1.0,217.5166666666667,0.45,18.483333333333334,7.2666666666666675
9,-77.65450000000001,-62.693333333333335,1.0,224.8783333333334,0.35,18.983333333333334,7.9
10,-75.45916666666668,-63.970000000000006,1.0,219.925,0.3833333333333333,18.366666666666667,7.6
11,-76.46341666666669,-63.171666666666674,1.0,221.30083333333337,0.3666666666666666,18.750000000000004,7.683333333333333
12,-74.34233333333333,-63.76000000000001,1.0,218.09,0.3833333333333333,17.766666666666666,7.733333333333332
13,-74.55241666666667,-66.10666666666667,1.0,217.52416666666664,0.36666666666666664,17.95,7.716666666666667
14,-72.765,-62.54333333333333,1.0,212.65000000000003,0.39999999999999997,17.066666666666666,7.883333333333333
15,-71.46708333333335,-64.29833333333333,1.0,214.00416666666666,0.4666666666666666,17.066666666666663,7.033333333333333
16,-75.45466666666667,-65.33,1.0,216.88000000000002,0.4333333333333333,18.383333333333333,7.633333333333333
17,-73.86308333333332,-63.605,1.0,217.9641666666667,0.4,17.766666666666673,7.466666666666667
18,-73.18908333333331,-60.76833333333334,1.0,215.55749999999998,0.4833333333333333,17.35,7.500000000000002
19,-73.34941666666666,-61.92666666666667,1.0,216.82750000000001,0.35,17.566666666666666,7.566666666666667
20,-74.71283333333335,-64.44833333333334,1.0,217.12833333333333,0.2333333333333333,18.216666666666665,7.816666666666667
21,-74.7695,-68.38,1.0,219.02833333333336,0.35,18.1,7.633333333333333
22,-76.54941666666667,-64.33,1.0,221.82749999999996,0.4666666666666666,18.633333333333333,7.616666666666665
23,-75.20125,-64.35333333333334,1.0,218.67916666666665,0.2833333333333333,18.550000000000004,7.55
24,-72.55216666666666,-59.535000000000004,1.0,218.52166666666668,0.29999999999999993,17.51666666666667,7.233333333333332
25,-74.22,-61.098333333333336,1.0,219.5333333333333,0.5333333333333333,18.116666666666667,6.95
26,-76.35483333333333,-62.14666666666667,1.0,222.88166666666672,0.4,18.533333333333335,7.699999999999998
27,-76.72916666666666,-61.593333333333334,1.0,219.95833333333334,0.5166666666666668,18.916666666666668,7.416666666666667
28,-77.04133333333334,-62.13333333333333,1.0,219.08,0.45,19.083333333333332,7.583333333333333
29,-74.89666666666666,-64.52499999999999,1.0,218.63333333333335,0.3333333333333333,18.416666666666664,7.433333333333333
30,-72.34750000000001,-59.85666666666666,1.0,214.8083333333333,0.3833333333333333,17.616666666666667,7.049999999999999
