run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-66.86500000000001,-69.955,208.65,199.55,0,0,19,14,4,11
2,1662057957,-60.485,-63.77,184.85000000000002,177.70000000000002,1,0,12,13,7,10
3,1405681631,-62.565,-57.72,205.65,197.20000000000002,0,0,14,12,7,7
4,942484272,-72.71000000000001,-67.93,187.10000000000002,179.3,1,1,15,16,10,7
5,929893137,-76.795,-79.25,207.95000000000002,212.5,0,1,20,19,8,8
6,1843824992,-73.625,-80.11500000000001,216.25,201.15,1,2,17,18,7,8
7,184566854,-64.76,-52.425,187.60000000000002,184.25,0,2,17,11,6,2
8,1497586438,-84.8,-80.33,228.0,203.3,2,2,19,18,8,8
9,432652533,-71.325,-75.83500000000001,193.25,178.35000000000002,2,1,17,17,5,10
10,202244314,-78.315,-75.13,203.15,211.3,2,1,17,18,8,7
11,1130604997,-62.225,-75.44500000000001,202.25,194.45000000000002,0,1,15,16,6,10
12,2095133045,-69.905,-67.08500000000001,199.05,190.85000000000002,0,0,17,17,8,7
13,1580016183,-80.75,-60.485,207.5,204.85000000000002,1,1,22,13,6,5
14,1634535062,-64.275,-57.25,182.75,192.5,1,1,15,11,6,6
15,1540770719,-57.34,-66.56,193.4,185.60000000000002,0,0,15,16,4,8
16,1688060240,-63.480000000000004,-71.9,194.8,199.0,1,1,15,19,5,5
17,1102145672,-70.295,-73.735,202.95000000000002,197.35000000000002,0,0,14,17,11,10
18,275121930,-86.995,-64.165,209.95000000000002,201.65,2,1,19,14,10,6
19,1803345590,-66.235,-56.625,202.35000000000002,206.25,0,0,19,14,4,4
20,967196436,-58.83500000000001,-72.52000000000001,208.35000000000002,225.20000000000002,0,0,14,16,5,9
