run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-66.86500000000001,-51.6,208.65,196.0,0,0,19,10,4,6
2,1662057957,-60.485,-70.255,184.85000000000002,182.55,1,0,12,15,7,11
3,1405681631,-62.565,-67.12,205.65,211.20000000000002,0,0,14,14,7,9
4,942484272,-72.71000000000001,-71.265,187.10000000000002,212.65,1,1,15,17,10,6
5,929893137,-76.795,-75.925,207.95000000000002,219.25,0,1,20,18,8,7
6,1843824992,-73.625,-93.075,216.25,210.75,1,1,17,23,7,11
7,184566854,-64.76,-71.12,187.60000000000002,171.20000000000002,0,2,17,16,6,7
8,1497586438,-84.8,-77.33,228.0,213.3,2,1,19,18,8,8
9,432652533,-71.325,-61.39,193.25,173.9,2,0,17,15,5,7
10,202244314,-78.315,-79.135,203.15,231.35000000000002,2,3,17,17,8,5
11,1130604997,-62.225,-71.105,202.25,191.05,0,1,15,16,6,8
12,2095133045,-69.905,-67.605,199.05,216.05,0,0,17,17,8,6
13,1580016183,-80.75,-87.665,207.5,236.65,1,2,22,20,6,8
14,1634535062,-64.275,-63.925,182.75,199.25,1,1,15,13,6,7
15,1540770719,-57.34,-55.39,193.4,173.9,0,0,15,12,4,7
16,1688060240,-63.480000000000004,-64.24000000000001,194.8,202.4,1,0,15,17,5,5
17,1102145672,-70.295,-84.37,202.95000000000002,223.70000000000002,0,2,14,17,11,10
18,275121930,-86.995,-58.78,209.95000000000002,187.8,2,0,19,14,10,6
19,1803345590,-66.235,-57.07000000000001,202.35000000000002,210.70000000000002,0,0,19,12,4,6
20,967196436,-58.83500000000001,-70.22,208.35000000000002,202.20000000000002,0,1,14,13,5,10
