run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-32.4,209.70000000000002,124.0,1,1,21,8,5,0
2,1662057957,-56.35,-31.005000000000003,143.5,110.05000000000001,2,1,13,5,4,3
3,1405681631,-177.54000000000002,-49.985,495.40000000000003,139.85,2,2,56,11,4,3
4,942484272,-36.535,-25.46,145.35,114.60000000000001,0,0,9,7,2,0
5,929893137,-85.435,-31.259999999999998,294.35,132.6,1,0,22,8,4,1
6,1843824992,-47.61,-51.620000000000005,136.1,156.20000000000002,1,1,12,13,3,3
7,184566854,-66.455,-18.080000000000002,224.55,100.80000000000001,0,0,20,4,2,0
8,1497586438,-56.11,-138.86,181.10000000000002,388.6,0,0,15,44,4,6
9,432652533,-85.1,-26.635,251.0,106.35000000000001,0,0,22,7,8,1
10,202244314,-133.13,-31.115000000000002,371.3,111.15,2,1,43,7,1,1
11,1130604997,-61.115,-32.735,151.15,127.35000000000001,0,0,16,8,7,2
12,2095133045,-82.07000000000001,-105.125,220.70000000000002,271.25,0,1,26,33,4,4
13,1580016183,-36.84,-28.595,128.4,105.95,0,1,8,5,4,2
14,1634535062,-40.56,-61.935,145.6,159.35000000000002,2,2,7,15,2,4
15,1540770719,-115.41,-21.92,334.1,119.2,1,0,36,4,3,1
16,1688060240,-100.02,-45.0,280.2,150.0,1,0,33,12,1,3
17,1102145672,-46.885,-31.97,148.85,119.7,0,0,13,10,3,0
18,275121930,-56.365,-22.615000000000002,203.65,106.15,0,0,11,5,7,1
19,1803345590,-35.015,-40.125,130.15,141.25,0,0,7,10,4,3
20,967196436,-46.370000000000005,-48.375,163.70000000000002,143.75,0,2,10,10,5,3
