epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-33.03325,-10.190000000000001,0.4,0.6,0.8,0.1,0.08,0.6161190217667072,194.66500000000002,0.675,15.975,3.275
2,-37.5869375,-15.307500000000001,0.40578972623068643,0.5597839009933456,0.9951173890289611,0.09338975771456233,0.06933820264689114,0.5679406059849184,202.73875,0.425,20.075,4.825
3,-30.203062499999998,-10.3475,0.3319020943351963,0.38172339071461353,1.3292558108226078,0.08626666325452213,0.0668298538324806,0.15742019084574088,177.56125000000003,0.475,15.175,3.3
4,-27.000625000000003,-10.455,0.3539987762466359,0.40155388797209873,1.361103276885013,0.08520743872650498,0.07199372044127807,0.35826998931046083,168.51250000000002,0.5,12.475,3.1
5,-23.778,-10.525,0.49494181075205873,0.2630617257455795,1.3814789756582402,0.1117069468922249,0.09000374878775903,0.7793853209987417,151.56,0.375,11.175,2.775
6,-32.801187500000005,-14.4625,0.5653584378236466,0.29245849895023757,1.638522382792078,0.12083805195633814,0.08015884867036492,1.1517106154727483,165.52375,0.3,17.85,4.875
7,-37.90475,-14.875,0.3976482218537967,0.30517554222008303,1.3329320620638878,0.11137775547106309,0.10770659790078733,0.8498460029588314,212.09499999999997,0.6,20.55,3.15
8,-27.76175,-8.352500000000001,0.30298915173699775,0.3114301171706612,1.1076826877326846,0.15157319561812296,0.10652657641775802,0.7102768321355528,172.23499999999999,0.3,14.25,3.1
9,-31.818562500000002,-14.325,0.3292229002108878,0.27963278694928956,0.9764953868257078,0.20401978408077576,0.08514474254539244,0.6326682257617819,182.37124999999997,0.175,18.45,3.2
10,-27.668875000000003,-14.1875,0.2852817288724476,0.25973498700439895,0.8952110982469328,0.223991513572103,0.0805718100102734,0.36687187224415063,160.8775,0.3,14.925,2.9
11,-26.918625,-7.440000000000001,0.2509102964798078,0.21186735719506886,1.1512761296616123,0.2675321909976346,0.058572178726700806,0.14509816852354196,168.3725,0.5,12.925,2.575
12,-27.635624999999997,-13.965,0.19465729348032212,0.18773015441207808,1.2158464973940992,0.3383240047924907,0.03612771739834568,-0.42357738800731903,136.7125,1.475,9.45,2.5
13,-32.21075,-10.767500000000002,0.19103818660323027,0.14374181625692692,1.0632387730031168,0.32225458459323714,0.028047632553928756,-1.1452705723307786,208.215,0.2,18.05,2.55
14,-31.9795,-6.272500000000001,0.16369820846952016,0.15452769936644672,1.0610304872215885,0.2842097627257429,0.02966570671579466,-1.2989856624168166,213.59,0.275,17.7,1.95
15,-18.776937500000003,-7.2700000000000005,0.15603420039776533,0.13306327800368473,1.2422305145379056,0.32356311387231246,0.022017140455491843,-1.5073044245557603,131.53875,0.275,8.175,2.375
